image,noise_type,noise_level,sobel_mse,sobel_psnr,prewitt_mse,prewitt_psnr,log_mse,log_psnr,canny_mse,canny_psnr
SEEYOUINMYDREAMS,clean,,0.0,inf,0.0,inf,0.0,inf,0.0,inf
SEEYOUINMYDREAMS,gaussian,0.01,24740.40406248946,4.196735725806082,24105.59165506466,4.309625654605674,29518.29487999632,3.429890939498436,24106.51852449551,4.309458669888427
SEEYOUINMYDREAMS,gaussian,0.05,24995.558641186733,4.152175133550737,25274.81182508608,4.103924299829515,29815.45201410764,3.386389630592151,24224.845750076984,4.2881934047446455
SEEYOUINMYDREAMS,gaussian,0.1,25776.420519682513,4.01857752601585,25188.426662603906,4.118793197329961,29988.34809522592,3.361278175120831,24266.96940400963,4.280648182935987
SEEYOUINMYDREAMS,s&p,0.01,3066.9503974193153,13.26373608785419,3038.6319746074532,13.304022573907385,25986.503161282682,3.983325176859635,5131.060674107566,11.028732107078842
SEEYOUINMYDREAMS,s&p,0.05,12626.895958418867,7.117837588330067,12616.015722285887,7.121581393218142,27422.000343171563,3.7498122892955914,17291.71802063284,5.752422160720878
SEEYOUINMYDREAMS,s&p,0.1,21751.855640595153,4.755840485384196,21561.41424718538,4.794031173585408,28185.927059604193,3.630480371543427,23427.66817501707,4.433512967318791
