image,noise_type,noise_level,sobel_mse,sobel_psnr,prewitt_mse,prewitt_psnr,log_mse,log_psnr,canny_mse,canny_psnr
SEEYOUINMYDREAMS,clean,,18713.89436547535,5.409161871870264,19055.196567252922,5.330669276950195,25448.574226375906,4.074169051563419,10012.7468949635,8.125271227820317
SEEYOUINMYDREAMS,gaussian,0.01,26791.67789620575,3.8508044762384785,26904.32280668353,3.8325829572575527,29771.306946441386,3.392824604781968,21193.498317127054,4.86877711168665
SEEYOUINMYDREAMS,gaussian,0.05,26575.344707991513,3.8860145441546705,26133.633203750433,3.95880569561798,30134.169342165686,3.3402113636266395,24214.696762690954,4.2900132606121915
SEEYOUINMYDREAMS,gaussian,0.1,26545.67557093369,3.890865785256292,26706.90427554807,3.8645681107061494,30257.927370542988,3.3224118478036035,24236.247641367023,4.286149794823632
SEEYOUINMYDREAMS,s&p,0.01,11625.304083956482,7.47676039283799,12761.897518484957,7.07165108070582,25503.888303565654,4.064739631771159,12212.450251404865,7.262775532779779
SEEYOUINMYDREAMS,s&p,0.05,14195.65740239541,6.609248513169393,14547.751345234676,6.502844915203864,27244.9915700561,3.777936830039503,18426.27141088638,5.476428970270778
SEEYOUINMYDREAMS,s&p,0.1,21700.71946229722,4.766062282485992,21921.04424399004,4.722191222508051,27971.27062010908,3.6636816583109013,22463.23491522459,4.616080619849095
